age	job	marital	education	default	housing	loan	contact	month	day_of_week	duration	campaign	pdays	previous	poutcome	emp.var.rate	cons.price.idx	cons.conf.idx	euribor3m	nr.employed	y
33	3	2	3	1	1	1	1	1	4	143	1	999	0	1	-0.33333333333333326	-0.46063912704597954	-0.6150627615062767	-0.6861678004535148	0.024574669187146014	0
58	8	3	3	1	2	1	2	2	4	40	2	999	0	1	1.0	0.7646141855027366	-0.2468619246861925	0.918820861678004	1.0	0
29	3	2	3	1	1	1	2	2	1	10	27	999	0	1	1.0	0.7646141855027366	-0.2468619246861925	0.9609977324263037	1.0	0
31	3	1	3	1	1	1	1	7	4	113	1	999	0	1	1.0	-0.031176929072486814	0.23012552301255162	0.9632653061224488	1.0	0
27	3	1	3	1	2	1	2	1	2	191	5	999	0	1	0.8750000000000001	0.39750584567420333	0.20502092050209164	0.9147392290249432	0.7194706994328897	0
60	3	3	4	1	1	1	1	4	2	481	1	999	1	2	-0.04166666666666663	0.5572876071706929	0.11297071129707081	-0.8861678004535147	-1.0	1
55	8	1	4	1	1	2	1	8	3	233	1	999	2	2	-1.0	-0.8207326578332044	1.0	-0.9528344671201814	-0.5924385633270361	0
37	1	1	1	1	1	1	1	1	2	204	2	999	0	1	-0.33333333333333326	-0.46063912704597954	-0.6150627615062767	-0.6829931972789116	0.024574669187146014	0
46	2	1	2	1	1	1	1	9	3	180	1	999	0	1	-0.33333333333333326	-0.3187840997661624	-0.6903765690376575	-0.6507936507936508	0.024574669187146014	0
42	1	3	6	1	1	1	1	1	2	16	2	999	0	1	-0.33333333333333326	-0.46063912704597954	-0.6150627615062767	-0.70702947845805	0.024574669187146014	0
35	3	2	3	1	1	1	1	5	3	447	3	999	0	1	1.0	0.33826968043648264	-0.3221757322175738	0.9614512471655325	1.0	0
29	2	3	2	1	2	2	2	2	3	361	3	999	0	1	1.0	0.7646141855027366	-0.2468619246861925	0.9183673469387756	1.0	0
32	1	1	1	1	2	1	1	3	3	1091	2	5	1	3	0.37500000000000006	-0.22135619641464643	-0.26359832635983294	0.6126984126984125	0.7557655954631386	1
37	4	1	3	1	2	1	1	1	1	395	1	999	1	2	-0.33333333333333326	-0.46063912704597954	-0.6150627615062767	-0.6925170068027212	0.024574669187146014	0
28	3	2	2	1	1	1	1	1	5	59	3	999	0	1	-0.33333333333333326	-0.46063912704597954	-0.6150627615062767	-0.7024943310657598	0.024574669187146014	0
34	6	1	3	1	1	1	1	1	2	77	4	999	0	1	-0.33333333333333326	-0.46063912704597954	-0.6150627615062767	-0.70702947845805	0.024574669187146014	0
31	5	2	2	1	1	2	1	7	5	768	1	999	0	1	1.0	-0.031176929072486814	0.23012552301255162	0.9641723356009069	1.0	1
31	3	1	3	1	1	1	1	7	4	96	5	999	0	1	1.0	-0.031176929072486814	0.23012552301255162	0.9623582766439907	1.0	0
31	3	2	3	1	1	1	2	2	2	357	2	999	0	1	1.0	0.7646141855027366	-0.2468619246861925	0.9179138321995464	1.0	0
38	4	2	3	1	2	1	2	1	4	459	2	999	0	1	0.8750000000000001	0.39750584567420333	0.20502092050209164	0.9138321995464851	0.7194706994328897	0
33	10	1	1	1	2	1	2	2	1	11	6	999	0	1	1.0	0.7646141855027366	-0.2468619246861925	0.9609977324263037	1.0	0
32	5	2	3	1	2	1	1	7	5	264	12	999	0	1	1.0	-0.031176929072486814	0.23012552301255162	0.9641723356009069	1.0	0
41	3	3	2	1	1	1	2	2	5	204	2	999	0	1	1.0	0.7646141855027366	-0.2468619246861925	0.9619047619047618	1.0	0
57	7	1	3	1	1	1	1	9	4	374	1	2	1	3	-0.33333333333333326	-0.3187840997661624	-0.6903765690376575	-0.6689342403628119	0.024574669187146014	0
38	8	3	3	1	1	1	1	3	4	252	1	999	0	1	0.37500000000000006	-0.22135619641464643	-0.26359832635983294	0.5605442176870745	0.7557655954631386	0
46	3	1	3	1	1	1	2	1	5	158	1	999	0	1	0.8750000000000001	0.39750584567420333	0.20502092050209164	0.9147392290249432	0.7194706994328897	0
37	10	2	3	1	1	2	1	3	5	95	1	999	0	1	0.37500000000000006	-0.22135619641464643	-0.26359832635983294	0.5954648526077093	0.7557655954631386	0
45	3	2	3	1	2	1	1	7	4	505	1	999	0	1	1.0	-0.031176929072486814	0.23012552301255162	0.9632653061224488	1.0	1
36	1	1	6	1	1	1	2	5	2	16	1	999	0	1	1.0	0.33826968043648264	-0.3221757322175738	0.9623582766439907	1.0	0
40	10	2	2	1	1	1	1	5	3	300	5	999	0	1	1.0	0.33826968043648264	-0.3221757322175738	0.9614512471655325	1.0	0
38	1	1	1	1	2	1	1	3	5	180	2	999	1	2	0.37500000000000006	-0.22135619641464643	-0.26359832635983294	0.5954648526077093	0.7557655954631386	0
25	4	1	3	1	1	1	2	1	1	274	2	999	0	1	0.8750000000000001	0.39750584567420333	0.20502092050209164	0.9147392290249432	0.7194706994328897	0
30	1	2	6	1	1	1	2	5	5	135	5	999	0	1	1.0	0.33826968043648264	-0.3221757322175738	0.9619047619047618	1.0	0
43	6	1	4	1	2	1	1	3	5	257	2	999	0	1	0.37500000000000006	-0.22135619641464643	-0.26359832635983294	0.5954648526077093	0.7557655954631386	0
31	5	1	4	1	1	1	2	1	2	157	6	999	0	1	0.8750000000000001	0.39750584567420333	0.20502092050209164	0.9142857142857139	0.7194706994328897	0
53	6	1	3	1	2	1	1	5	5	477	2	999	0	1	1.0	0.33826968043648264	-0.3221757322175738	0.9619047619047618	1.0	0
37	2	1	2	1	1	2	1	1	4	436	3	999	0	1	-0.33333333333333326	-0.46063912704597954	-0.6150627615062767	-0.7138321995464854	0.024574669187146014	0
33	2	2	1	1	1	1	1	9	4	483	2	999	0	1	-0.33333333333333326	-0.3187840997661624	-0.6903765690376575	-0.6485260770975058	0.024574669187146014	0
44	8	1	4	1	2	1	2	1	3	259	1	999	0	1	0.8750000000000001	0.39750584567420333	0.20502092050209164	0.915192743764172	0.7194706994328897	0
38	1	1	6	1	1	1	2	5	4	389	2	999	0	1	1.0	0.33826968043648264	-0.3221757322175738	0.9641723356009069	1.0	0
34	1	1	1	1	2	1	2	2	5	7	1	999	0	1	-0.29166666666666663	0.44505066250974323	-0.07949790794979084	-0.9696145124716554	-0.7882797731569013	0
47	6	1	3	1	1	1	1	5	2	123	1	999	0	1	-0.7916666666666665	-0.7911145752143369	0.4393305439330537	-0.8213151927437643	-0.14858223062382336	0
59	3	1	3	1	1	2	1	5	2	92	1	999	0	1	-0.7916666666666665	-0.7911145752143369	0.4393305439330537	-0.7959183673469388	-0.14858223062382336	0
31	1	1	6	1	1	1	2	2	2	406	2	999	0	1	1.0	0.7646141855027366	-0.2468619246861925	0.9179138321995464	1.0	0
56	6	1	3	1	1	2	1	3	2	104	1	999	1	2	0.37500000000000006	-0.22135619641464643	-0.26359832635983294	0.5804988662131518	0.7557655954631386	0
39	3	1	3	1	2	1	2	2	3	135	2	999	0	1	1.0	0.7646141855027366	-0.2468619246861925	0.9619047619047618	1.0	0
41	8	1	3	1	1	1	1	3	5	854	1	999	0	1	0.37500000000000006	-0.22135619641464643	-0.26359832635983294	0.5954648526077093	0.7557655954631386	1
41	6	3	6	1	1	1	1	3	4	147	1	999	0	1	0.37500000000000006	-0.22135619641464643	-0.26359832635983294	0.5605442176870745	0.7557655954631386	0
35	1	1	2	1	2	2	1	5	3	149	4	999	0	1	1.0	0.33826968043648264	-0.3221757322175738	0.9623582766439907	1.0	0
58	7	1	1	1	2	2	1	1	2	144	1	999	0	1	-0.33333333333333326	-0.46063912704597954	-0.6150627615062767	-0.6829931972789116	0.024574669187146014	0
25	4	1	4	1	1	1	2	2	2	394	2	999	0	1	1.0	0.7646141855027366	-0.2468619246861925	0.9609977324263037	1.0	0
35	1	3	1	1	1	1	1	1	5	523	1	999	1	2	-0.33333333333333326	-0.46063912704597954	-0.6150627615062767	-0.6784580498866214	0.024574669187146014	0
28	2	2	2	1	2	1	1	5	2	73	1	999	0	1	1.0	0.33826968043648264	-0.3221757322175738	0.9628117913832199	1.0	0
55	1	1	4	1	1	2	1	1	1	197	3	999	1	2	-0.33333333333333326	-0.46063912704597954	-0.6150627615062767	-0.7210884353741497	0.024574669187146014	0
32	1	1	1	1	1	1	1	9	4	114	1	999	1	2	-0.33333333333333326	-0.3187840997661624	-0.6903765690376575	-0.6485260770975058	0.024574669187146014	0
75	7	1	5	1	2	1	1	9	5	109	1	999	1	2	-0.33333333333333326	-0.3187840997661624	-0.6903765690376575	-0.6507936507936508	0.024574669187146014	1
29	6	1	3	1	2	2	1	7	2	181	2	999	0	1	1.0	-0.031176929072486814	0.23012552301255162	0.9646258503401357	1.0	0
45	6	1	3	1	1	1	1	1	4	239	1	999	0	1	-0.33333333333333326	-0.46063912704597954	-0.6150627615062767	-0.6861678004535148	0.024574669187146014	0
38	3	3	3	1	2	1	1	9	3	360	1	999	0	1	-0.33333333333333326	-0.3187840997661624	-0.6903765690376575	-0.6566893424036282	0.024574669187146014	1
24	2	2	4	1	1	1	2	1	3	314	1	999	0	1	0.8750000000000001	0.39750584567420333	0.20502092050209164	0.915192743764172	0.7194706994328897	0
41	5	1	4	1	1	1	1	7	3	984	1	999	0	1	1.0	-0.031176929072486814	0.23012552301255162	0.9628117913832199	1.0	0
58	7	3	2	1	1	1	1	2	5	663	1	999	0	1	-0.7916666666666665	-0.40607950116913116	-0.16317991631799167	-0.7156462585034015	-0.14858223062382336	1
34	3	1	3	1	2	2	2	1	2	157	2	999	0	1	0.8750000000000001	0.39750584567420333	0.20502092050209164	0.9147392290249432	0.7194706994328897	0
34	3	1	3	1	2	1	1	3	3	141	2	999	0	1	-0.04166666666666663	1.0	-1.0	-0.8117913832199547	-1.0	0
37	5	3	4	1	2	1	2	1	2	374	1	999	0	1	0.8750000000000001	0.39750584567420333	0.20502092050209164	0.9142857142857139	0.7194706994328897	0
53	1	3	5	1	2	1	2	2	2	706	1	999	0	1	1.0	0.7646141855027366	-0.2468619246861925	0.9609977324263037	1.0	1
54	5	3	4	1	1	2	1	5	5	797	14	999	0	1	1.0	0.33826968043648264	-0.3221757322175738	0.9619047619047618	1.0	0
32	5	3	4	1	1	1	1	3	5	250	1	999	0	1	0.37500000000000006	-0.22135619641464643	-0.26359832635983294	0.5954648526077093	0.7557655954631386	0
42	3	1	2	1	1	1	1	5	1	311	6	999	0	1	1.0	0.33826968043648264	-0.3221757322175738	0.9623582766439907	1.0	0
28	5	2	4	1	1	1	1	7	4	63	2	3	1	3	-0.7916666666666665	-1.0	0.6234309623430958	-0.9020408163265307	-0.14858223062382336	1
33	2	2	2	1	1	1	2	1	1	111	1	999	0	1	0.8750000000000001	0.39750584567420333	0.20502092050209164	0.9179138321995464	0.7194706994328897	0
41	1	1	1	1	1	1	1	9	3	148	2	999	0	1	-0.33333333333333326	-0.3187840997661624	-0.6903765690376575	-0.6507936507936508	0.024574669187146014	0
31	2	1	2	1	2	2	1	3	4	49	1	999	0	1	0.37500000000000006	-0.22135619641464643	-0.26359832635983294	0.5605442176870745	0.7557655954631386	0
40	3	3	3	1	1	1	1	7	3	257	1	999	0	1	1.0	-0.031176929072486814	0.23012552301255162	0.9637188208616776	1.0	0
82	9	1	5	1	2	1	2	4	5	279	3	3	2	3	-0.04166666666666663	0.5572876071706929	0.11297071129707081	-0.890249433106576	-1.0	1
28	1	1	5	1	1	1	1	5	3	113	1	999	0	1	1.0	0.33826968043648264	-0.3221757322175738	0.9614512471655325	1.0	0
31	10	2	3	1	1	1	1	5	5	309	1	6	3	3	-0.29166666666666663	0.5697583787996905	-0.12133891213389125	-0.9092970521541951	-0.7882797731569013	1
32	5	2	3	1	1	1	1	7	2	168	1	999	0	1	1.0	-0.031176929072486814	0.23012552301255162	0.9637188208616776	1.0	0
54	1	1	5	1	1	1	1	7	5	153	1	999	0	1	1.0	-0.031176929072486814	0.23012552301255162	0.9628117913832199	1.0	0
31	1	1	1	1	2	1	1	5	2	152	1	999	0	1	1.0	0.33826968043648264	-0.3221757322175738	0.9628117913832199	1.0	0
31	3	2	2	1	1	2	1	1	2	149	1	999	0	1	-0.33333333333333326	-0.46063912704597954	-0.6150627615062767	-0.70702947845805	0.024574669187146014	0
32	10	1	2	1	1	1	1	3	4	640	1	999	0	1	0.37500000000000006	-0.22135619641464643	-0.26359832635983294	0.5605442176870745	0.7557655954631386	0
46	3	2	2	1	1	1	1	3	3	199	2	999	2	2	-0.04166666666666663	1.0	-1.0	-0.8126984126984127	-1.0	0
47	3	2	2	1	2	1	1	1	3	1114	2	999	0	1	-0.33333333333333326	-0.46063912704597954	-0.6150627615062767	-0.6988662131519275	0.024574669187146014	0
32	3	2	2	1	2	1	1	3	3	74	2	999	2	2	-0.04166666666666663	1.0	-1.0	-0.8126984126984127	-1.0	0
45	3	1	2	1	1	1	1	8	1	738	3	6	1	3	-0.04166666666666663	0.8706157443491804	-0.8912133891213392	-0.8213151927437643	-1.0	1
32	3	1	3	1	1	1	1	1	1	374	2	999	0	1	-0.33333333333333326	-0.46063912704597954	-0.6150627615062767	-0.6925170068027212	0.024574669187146014	0
49	2	1	2	1	1	1	2	1	1	344	2	999	0	1	0.8750000000000001	0.39750584567420333	0.20502092050209164	0.9138321995464851	0.7194706994328897	0
46	3	1	2	1	1	2	2	2	2	148	10	999	0	1	1.0	0.7646141855027366	-0.2468619246861925	0.9179138321995464	1.0	0
46	1	1	4	1	2	1	1	3	1	383	1	999	0	1	-0.04166666666666663	1.0	-1.0	-0.8217687074829932	-1.0	0
38	3	1	3	1	1	1	1	7	5	35	6	999	0	1	1.0	-0.031176929072486814	0.23012552301255162	0.9637188208616776	1.0	0
44	5	1	4	1	2	1	2	1	1	124	3	999	0	1	0.8750000000000001	0.39750584567420333	0.20502092050209164	0.9179138321995464	0.7194706994328897	0
47	5	1	3	1	1	1	1	7	2	345	7	999	0	1	1.0	-0.031176929072486814	0.23012552301255162	0.9632653061224488	1.0	0
40	1	1	1	1	1	2	2	1	2	951	2	999	0	1	0.8750000000000001	0.39750584567420333	0.20502092050209164	0.915192743764172	0.7194706994328897	0
57	7	2	4	1	1	1	2	1	3	188	1	999	0	1	0.8750000000000001	0.39750584567420333	0.20502092050209164	0.9147392290249432	0.7194706994328897	0
52	1	1	1	1	2	1	1	7	1	809	1	999	0	1	1.0	-0.031176929072486814	0.23012552301255162	0.9641723356009069	1.0	1
34	6	1	3	1	1	2	2	2	2	192	1	999	0	1	-0.7916666666666665	-0.40607950116913116	-0.16317991631799167	-0.7165532879818595	-0.14858223062382336	0
42	8	1	3	1	1	1	2	1	5	154	1	999	0	1	0.8750000000000001	0.39750584567420333	0.20502092050209164	0.9147392290249432	0.7194706994328897	0
56	7	1	2	1	2	1	1	1	3	317	1	999	0	1	-0.33333333333333326	-0.46063912704597954	-0.6150627615062767	-0.7238095238095239	0.024574669187146014	0
41	6	1	3	1	1	1	1	1	4	93	1	999	0	1	-0.33333333333333326	-0.46063912704597954	-0.6150627615062767	-0.6861678004535148	0.024574669187146014	0
44	3	1	2	1	1	1	1	7	1	111	1	999	0	1	1.0	-0.031176929072486814	0.23012552301255162	0.9632653061224488	1.0	0
50	1	1	6	1	1	1	1	1	3	293	3	3	1	3	-0.33333333333333326	-0.46063912704597954	-0.6150627615062767	-0.6739229024943311	0.024574669187146014	1
54	4	1	2	1	2	1	1	7	5	119	3	999	0	1	1.0	-0.031176929072486814	0.23012552301255162	0.9628117913832199	1.0	0
51	1	1	6	1	2	1	1	7	1	393	1	999	0	1	1.0	-0.031176929072486814	0.23012552301255162	0.9632653061224488	1.0	0
30	1	2	1	1	2	1	1	3	2	30	1	999	0	1	0.37500000000000006	-0.22135619641464643	-0.26359832635983294	0.5804988662131518	0.7557655954631386	0
47	2	2	1	1	2	1	1	3	5	187	2	999	0	1	0.37500000000000006	-0.22135619641464643	-0.26359832635983294	0.5954648526077093	0.7557655954631386	0
35	1	1	6	1	1	1	1	9	1	113	1	999	1	2	-0.33333333333333326	-0.3187840997661624	-0.6903765690376575	-0.6507936507936508	0.024574669187146014	0
58	1	1	1	1	2	1	1	3	5	64	1	999	1	2	0.37500000000000006	-0.22135619641464643	-0.26359832635983294	0.5954648526077093	0.7557655954631386	0
50	1	3	2	1	1	2	1	5	3	629	2	999	0	1	1.0	0.33826968043648264	-0.3221757322175738	0.9614512471655325	1.0	1
41	5	1	4	1	2	1	2	1	5	92	1	999	0	1	0.8750000000000001	0.39750584567420333	0.20502092050209164	0.9142857142857139	0.7194706994328897	0
38	5	1	3	1	1	1	1	1	2	147	1	999	0	1	-0.33333333333333326	-0.46063912704597954	-0.6150627615062767	-0.6829931972789116	0.024574669187146014	0
32	11	2	3	1	2	1	1	3	4	151	2	999	0	1	0.37500000000000006	-0.22135619641464643	-0.26359832635983294	0.5605442176870745	0.7557655954631386	0
21	11	2	2	1	2	1	1	7	5	259	1	999	1	2	-0.7916666666666665	-1.0	0.6234309623430958	-0.8870748299319728	-0.14858223062382336	0
42	4	1	3	1	1	1	1	3	1	888	3	999	0	1	0.37500000000000006	-0.22135619641464643	-0.26359832635983294	0.5356009070294783	0.7557655954631386	0
55	2	1	1	1	2	1	1	7	2	76	13	999	0	1	1.0	-0.031176929072486814	0.23012552301255162	0.9632653061224488	1.0	0
29	3	2	2	1	1	1	2	3	3	207	1	6	1	3	-0.04166666666666663	1.0	-1.0	-0.8117913832199547	-1.0	0
53	6	1	5	1	1	1	1	3	2	63	1	999	0	1	0.37500000000000006	-0.22135619641464643	-0.26359832635983294	0.5804988662131518	0.7557655954631386	0
35	6	1	3	1	1	1	1	3	2	265	2	999	0	1	0.37500000000000006	-0.22135619641464643	-0.26359832635983294	0.5804988662131518	0.7557655954631386	0
46	2	1	4	1	1	1	2	1	5	273	4	999	0	1	0.8750000000000001	0.39750584567420333	0.20502092050209164	0.9142857142857139	0.7194706994328897	0
32	5	1	4	1	2	1	1	5	5	711	1	999	0	1	1.0	0.33826968043648264	-0.3221757322175738	0.9623582766439907	1.0	0
41	1	3	1	1	1	1	1	1	1	88	1	999	1	2	-0.33333333333333326	-0.46063912704597954	-0.6150627615062767	-0.6925170068027212	0.024574669187146014	0
28	3	1	3	1	2	1	1	1	5	72	3	999	1	2	-0.33333333333333326	-0.46063912704597954	-0.6150627615062767	-0.7024943310657598	0.024574669187146014	0
24	2	2	3	1	2	1	1	5	4	113	6	999	0	1	1.0	0.33826968043648264	-0.3221757322175738	0.9628117913832199	1.0	0
30	3	2	3	1	1	1	1	7	3	39	1	999	0	1	1.0	-0.031176929072486814	0.23012552301255162	0.9659863945578226	1.0	0
22	11	2	2	1	2	2	1	5	1	154	2	999	0	1	1.0	0.33826968043648264	-0.3221757322175738	0.9600907029478456	1.0	0
32	8	2	3	1	2	2	1	3	4	126	1	999	0	1	0.37500000000000006	-0.22135619641464643	-0.26359832635983294	0.5605442176870745	0.7557655954631386	0
38	5	2	4	1	1	1	1	1	3	202	3	999	1	2	-0.33333333333333326	-0.46063912704597954	-0.6150627615062767	-0.7238095238095239	0.024574669187146014	0
59	7	1	5	1	2	1	2	9	5	353	4	999	0	1	-0.33333333333333326	-0.3187840997661624	-0.6903765690376575	-0.6290249433106576	0.024574669187146014	0
31	1	1	5	1	1	1	2	1	2	159	2	999	0	1	0.8750000000000001	0.39750584567420333	0.20502092050209164	0.9147392290249432	0.7194706994328897	0
76	7	2	5	1	2	1	1	3	3	347	4	6	1	3	-1.0	-0.6508183943881534	0.7322175732217571	-0.963718820861678	-0.5924385633270361	1
33	3	2	3	1	1	1	1	7	4	686	4	999	0	1	1.0	-0.031176929072486814	0.23012552301255162	0.9628117913832199	1.0	1
59	7	1	5	1	1	1	1	7	1	94	1	999	0	1	1.0	-0.031176929072486814	0.23012552301255162	0.9628117913832199	1.0	0
28	1	1	1	1	1	1	1	5	3	225	3	999	0	1	1.0	0.33826968043648264	-0.3221757322175738	0.9614512471655325	1.0	0
33	1	2	6	1	1	1	1	1	1	474	2	999	0	1	-0.33333333333333326	-0.46063912704597954	-0.6150627615062767	-0.6925170068027212	0.024574669187146014	0
41	2	1	2	1	2	1	1	6	2	377	6	999	0	1	-0.33333333333333326	-0.4996102883865916	-0.93305439330544	-0.4816326530612246	0.024574669187146014	1
35	5	1	4	1	2	1	1	5	4	126	4	999	0	1	1.0	0.33826968043648264	-0.3221757322175738	0.965079365079365	1.0	0
53	6	1	3	1	2	1	1	7	3	313	4	999	0	1	1.0	-0.031176929072486814	0.23012552301255162	0.9637188208616776	1.0	0
35	5	2	4	1	1	1	1	1	4	141	1	999	0	1	-0.33333333333333326	-0.46063912704597954	-0.6150627615062767	-0.6861678004535148	0.024574669187146014	0
34	9	2	3	1	2	1	2	2	4	267	2	999	0	1	1.0	0.7646141855027366	-0.2468619246861925	0.9619047619047618	1.0	0
42	3	1	1	1	2	1	2	9	3	406	3	999	1	2	-0.33333333333333326	-0.3187840997661624	-0.6903765690376575	-0.6507936507936508	0.024574669187146014	0
36	4	1	1	1	1	2	1	3	4	151	3	999	0	1	0.37500000000000006	-0.22135619641464643	-0.26359832635983294	0.5605442176870745	0.7557655954631386	0
44	3	1	2	1	2	1	2	1	2	228	3	999	0	1	0.8750000000000001	0.39750584567420333	0.20502092050209164	0.9142857142857139	0.7194706994328897	0
50	3	3	3	1	1	1	1	7	5	73	2	999	0	1	1.0	-0.031176929072486814	0.23012552301255162	0.9637188208616776	1.0	0
36	3	1	3	1	1	1	1	4	1	355	1	999	0	1	-1.0	-0.8612626656274358	0.757322175732217	-0.9374149659863946	-0.5924385633270361	0
27	5	1	4	1	2	1	1	5	4	102	9	999	0	1	1.0	0.33826968043648264	-0.3221757322175738	0.9628117913832199	1.0	0
25	5	2	3	1	1	2	2	2	3	35	6	999	0	1	1.0	0.7646141855027366	-0.2468619246861925	0.9614512471655325	1.0	0
29	6	1	3	1	1	2	1	7	5	116	2	999	0	1	1.0	-0.031176929072486814	0.23012552301255162	0.9641723356009069	1.0	0
